Order Date,Order ID,Title,Category,ASIN/ISBN,UNSPSC Code,Website,Release Date,Condition,Seller,Seller Credentials,List Price Per Unit,Purchase Price Per Unit,Quantity,Purchase Order Number,PO Line Number,Shipment Date,Order Status,Carrier Name & Tracking Number,Item Subtotal,Item Subtotal Tax,Item Total,Tax Exemption Applied,Tax Exemption Type,Exemption Opt-Out,Currency,Group Name
8/23/2020,112-6506562-9995468,Amazon.com eGift Card,GIFT_CARD,B07TMNGSN4,64151505,Amazon.com,,new,Amazon.com,,$50.00 ,$50.00 ,1,,,8/23/2020,Shipped,,$50.00 ,$0.00 ,$50.00 ,,,,USD,
8/23/2020,112-6789625-7353010,Amazon.com eGift Card,GIFT_CARD,B07TMNGSN4,64151505,Amazon.com,,new,Amazon.com,,$50.00 ,$50.00 ,1,,,8/23/2020,Shipped,,$50.00 ,$0.00 ,$50.00 ,,,,USD,
9/29/2020,112-8514628-8555424,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",NETWORK_INTERFACE_CONTROLLER_ADAPTER,B008IFXQFU,43211600,Amazon.com,,new,Amazon.com,,$14.99 ,$9.99 ,1,,,9/29/2020,Shipped,AMZN_US(TBA013059619704),$9.99 ,$0.82 ,$10.81 ,,,,USD,
10/4/2020,114-3623153-7537021,"Wahl Micro Groomsman Personal Pen Trimmer & Detailer for Hygienic Grooming with Rinseable, Interchangeable Heads for Eyebrows, Neckline, Nose, Ears, & Other Detailing - Model 5640-600",HAIR_TRIMMER,B003TW70E0,53131600,Amazon.com,,new,Amazon.com,,$9.99 ,$9.87 ,1,,,10/5/2020,Shipped,AMZN_US(TBA018283061404),$9.87 ,$0.81 ,$10.68 ,,,,USD,
10/4/2020,114-3623153-7537021,,,B07DB2NQ3N,,Amazon.com,,new,Holy Stone,,$0.00 ,$25.19 ,1,,,10/5/2020,Shipped,AMZN_US(TBA018283061404),$25.19 ,$1.87 ,$27.06 ,,,,USD,
10/4/2020,114-6787855-9733032,Xbox Wireless Controller - Black,VIDEO_GAME_ACCESSORIES,B01LPZM7VI,43211705,Amazon.com,2016-09-20T00:00:01,used verygood,Ocean Reef Electronics,,$59.99 ,$49.00 ,1,,,10/5/2020,Shipped,USPS(9400111298286828747791),$49.00 ,$4.04 ,$53.04 ,,,,USD,
10/11/2020,112-2127579-0023465,"Cat7 Ethernet Cable, 50 Ft Network Cable for Xbox PS4, High Speed Flat Internet Cord with Clips Rj45 Snagless Connector Fast Computer LAN Wire for Gaming,Ethernet Switch, Modem, Router, Coupler, Black",ELECTRONIC_CABLE,B06XHDT44G,43211600,Amazon.com,,new,YoTwo,,$27.77 ,$14.11 ,1,,,10/11/2020,Shipped,AMZN_US(TBA023864782704),$14.11 ,$1.16 ,$15.27 ,,,,USD,
10/13/2020,114-0280679-9445839,"DJI Mavic Mini Combo - Drone FlyCam Quadcopter UAV with 2.7K Camera 3-Axis Gimbal GPS 30min Flight Time, less than 0.55lbs, Gray",UNMANNED_AERIAL_VEHICLE,B07RKPP1YL,45121500,Amazon.com,,new,Amazon.com,,$499.00 ,$499.00 ,1,,,10/13/2020,Shipped,AMZN_US(TBA261559879000),$499.00 ,$32.92 ,$531.92 ,,,,USD,
10/13/2020,114-3092778-9751456,Batman: Damned,ABIS_BOOK,1401291406,55101500,Amazon.com,2019-09-10T00:00:01,new,Amazon.com,,$29.99 ,$19.19 ,1,,,10/13/2020,Shipped,AMZN_US(TBA025528221504),$19.19 ,$1.29 ,$20.48 ,,,,USD,
10/14/2020,113-8467462-2281820,SAMSUNG: EVO Select 128GB MicroSDXC UHS-I U3 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-ME128HA),FLASH_MEMORY,B0887GP791,43202005,Amazon.com,,new,Amazon.com,,$24.99 ,$18.49 ,1,,,10/15/2020,Shipped,AMZN_US(TBA027936565204),$18.49 ,$1.53 ,$20.02 ,,,,USD,
10/21/2020,114-0395657-3391424,Spigen Slim Armor CS Designed for iPhone 11 Case (2019) - Black,CELLULAR_PHONE_CASE,B07SZJKW4C,43191601,Amazon.com,,new,Spigen Inc,,$39.99 ,$16.99 ,1,,,10/22/2020,Shipped,AMZN_US(TBA035202552104),$16.99 ,$1.40 ,$18.39 ,,,,USD,
11/17/2020,111-3337389-7104213,"LEVOIT Air Purifier for Home Allergies Pets Hair in Bedroom, H13 True HEPA Filter, 24db Filtration System Cleaner Odor Eliminators, Ozone Free, Remove 99.97% Dust Smoke Mold Pollen, Core 300, White",AIR_PURIFIER,B07VVK39F7,40101505,Amazon.com,,new,Amazon.com,,$99.99 ,$99.99 ,1,,,11/17/2020,Shipped,AMZN_US(TBA061603455804),$99.99 ,$9.30 ,$109.29 ,,,,USD,
11/19/2020,111-5207392-9800202,ROCCAT Kain 120 AIMO RGB PC Gaming Mouse - Black,INPUT_MOUSE,B07SVNX78P,43211708,Amazon.com,,new,Amazon.com,,$69.99 ,$29.99 ,1,,,11/19/2020,Shipped,AMZN_US(TBA063787881204),$29.99 ,$2.79 ,$32.78 ,,,,USD,
11/25/2020,111-6955528-2921037,"SAMSUNG 32” Odyssey G5 Gaming Monitor, WQHD (2560x1440), 144Hz, Curved, 1ms, HDMI, Display Port, AMD FreeSync Premium, HDR10, LC32G55TQWNXZA, Black",MONITOR,B08FF3HDW5,43211900,Amazon.com,,new,Amazon.com,,$349.99 ,$289.99 ,1,,,11/26/2020,Shipped,USPS(9361289725009378255106),$289.99 ,$26.97 ,$316.96 ,,,,USD,
12/6/2020,113-1713033-0928226,"Micro USB Cable,Universal 3Pack 6ft Long Android Charger Cable, High Speed Sync Charger Cord and Micro USB Data Cord Wire for Samsung Galaxy S7 Edge, S7, S6 Edge,S6,Black",ELECTRONIC_CABLE,B01NA9UCVQ,43191600,Amazon.com,,new,Maxibox,,$15.99 ,$7.99 ,1,,,12/6/2020,Shipped,AMZN_US(TBA085186819704),$7.99 ,$0.74 ,$8.73 ,,,,USD,
12/8/2020,111-0802936-1772252,"ASUS TUF Gaming 32"" 1440P HDR Curved Monitor (VG32VQ1B) - QHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, Extreme Low Motion Blur, Speaker, FreeSync Premium, VESA Mountable, DisplayPort, HDMI",MONITOR,B088MKF848,43211902,Amazon.com,,new,Amazon.com,,$399.00 ,$379.99 ,1,,,12/9/2020,Shipped,USPS(9361289725009394410510),$379.99 ,$35.34 ,$415.33 ,,,,USD,
12/22/2020,114-1737302-6967414,,,B00QM9KL5M,,Amazon.com,,new,AUKEY  Direct,,$24.99 ,$29.99 ,1,,,12/22/2020,Shipped,AMZN_US(TBA110802403904),$29.99 ,$2.79 ,$32.78 ,FALSE,,FALSE,USD,
12/26/2020,111-4056301-1926652,"INFILAND Galaxy Tab S4 10.5 Case with S Pen Holder (Auto Wake/Sleep) Compatible with Samsung Galaxy Tab S4 10.5 SM-T830/ T835 2018, Black",PORTABLE_ELECTRONIC_DEVICE_COVER,B07GF8K8ZW,43211600,Amazon.com,,new,Infiland LLC,,$0.00 ,$6.95 ,1,,,12/27/2020,Shipped,AMZN_US(TBA114483727704),$6.95 ,$0.65 ,$7.60 ,FALSE,,FALSE,USD,
1/12/2021,111-0178359-4959477,ThreeH New Mini Red USB Fridge Cooler Beverage Drink Cans Cooler/Warmer Refrigerator for Laptop PC Computer Black H-UF05Black,REFRIGERATOR,B016KQ7YLA,52141500,Amazon.com,,new,ThreeH Direct,,$35.00 ,$23.97 ,1,,,1/13/2021,Shipped,AMZN_US(TBA133902336504),$23.97 ,$2.12 ,$26.09 ,FALSE,,FALSE,USD,
1/23/2021,113-9119935-7689005,G933 Battery Replacement for LOGITECH G533 and G933 Artemis Spectrum Wireless Gaming Headset,HEADPHONES,B07X91R3GR,26111700,Amazon.com,,new,Bomibattery,,$0.00 ,$15.39 ,1,,,1/23/2021,Shipped,AMZN_US(TBA145603347104),$15.39 ,$1.43 ,$16.82 ,FALSE,,FALSE,USD,
1/26/2021,111-6646444-9489828,"SAMSUNG 970 EVO Plus SSD 1TB, M.2 NVMe Interface Internal Solid State Hard Drive with V-NAND Technology for Gaming, Graphic Design, MZ-V7S1T0B/AM",COMPUTER_DRIVE_OR_STORAGE,B07MFZY2F2,43201830,Amazon.com,,new,Amazon.com,,$249.99 ,$155.68 ,1,,,1/26/2021,Shipped,AMZN_US(TBA148472940204),$155.68 ,$14.48 ,$170.16 ,FALSE,,FALSE,USD,
2/16/2021,113-9434058-6257830,"Amazon Basics Electric Guitar Strings - Light, Nickel Round Wound",INSTRUMENT_PARTS_AND_ACCESSORIES,B07WXYL2J3,60131500,Amazon.com,,new,Amazon.com,,$10.49 ,$8.82 ,1,,,2/17/2021,Shipped,AMZN_US(TBA170433754404),$8.82 ,$0.82 ,$9.64 ,FALSE,,FALSE,USD,
2/17/2021,113-1356400-8603459,WEPIGEEK Foldable Controller Mobile Phone Holder/Cellphone Clamp/Clip Compatible with Microsoft Xbox One/Xbox One S/Steelseries Nimbus/SteelSeries Stratus XL/Steam Controllers（not Controller),VIDEO_GAME_CONTROLLER,B07CLJF3V7,43211705,Amazon.com,,new,Anfiner,,$19.99 ,$8.89 ,1,,,2/17/2021,Shipped,AMZN_US(TBA303727493000),$8.89 ,$0.83 ,$9.72 ,FALSE,,FALSE,USD,
